,main_category,unit_type,sub_category,max_range,min_range
Bottle Filling Machines_piece_Water Source Type,Bottle Filling Machines,piece,Water Source Type,1000000.0,1000000.0
Bottle Filling Machines_set_Application,Bottle Filling Machines,set,Application,1700000.0,515000.0
Bottle Filling Machines_set_Brand,Bottle Filling Machines,set,Brand,240000.0,25000.0
Bottle Filling Machines_set_Capacity,Bottle Filling Machines,set,Capacity,1700000.0,800000.0
Bottle Filling Machines_set_Control Panel,Bottle Filling Machines,set,Control Panel,800000.0,800000.0
Bottle Filling Machines_set_Electric Load,Bottle Filling Machines,set,Electric Load,35000.0,35000.0
Bottle Filling Machines_set_Filling Product,Bottle Filling Machines,set,Filling Product,975000.0,750000.0
Bottle Filling Machines_set_Filling System,Bottle Filling Machines,set,Filling System,1950000.0,1700000.0
Bottle Filling Machines_set_Finishing,Bottle Filling Machines,set,Finishing,35000.0,35000.0
Bottle Filling Machines_set_Machine Capacity,Bottle Filling Machines,set,Machine Capacity,650000.0,650000.0
Bottle Filling Machines_set_Material,Bottle Filling Machines,set,Material,1550000.0,750000.0
Bottle Filling Machines_set_Model No.,Bottle Filling Machines,set,Model No.,1700000.0,1700000.0
Bottle Filling Machines_set_Number Of Head,Bottle Filling Machines,set,Number Of Head,800000.0,800000.0
Bottle Filling Machines_set_Packaging Type,Bottle Filling Machines,set,Packaging Type,850000.0,35000.0
Bottle Filling Machines_set_Power Consumption,Bottle Filling Machines,set,Power Consumption,240000.0,35000.0
Bottle Filling Machines_set_Size/Dimension,Bottle Filling Machines,set,Size/Dimension,1700000.0,1700000.0
Bottle Filling Machines_set_Usage,Bottle Filling Machines,set,Usage,975000.0,750000.0
Bottle Filling Machines_set_Usage/Application,Bottle Filling Machines,set,Usage/Application,800000.0,35000.0
Bottle Filling Machines_square feet_Brand,Bottle Filling Machines,square feet,Brand,700000.0,700000.0
Bottle Filling Machines_square feet_Material,Bottle Filling Machines,square feet,Material,700000.0,700000.0
Bottle Filling Machines_square feet_Power Consumption,Bottle Filling Machines,square feet,Power Consumption,700000.0,700000.0
Bottle Filling Machines_unit_Application,Bottle Filling Machines,unit,Application,1650000.0,250000.0
Bottle Filling Machines_unit_Bottle Filling Capacity,Bottle Filling Machines,unit,Bottle Filling Capacity,1200000.0,1200000.0
Bottle Filling Machines_unit_Bottle Type,Bottle Filling Machines,unit,Bottle Type,950000.0,450000.0
Bottle Filling Machines_unit_Brand,Bottle Filling Machines,unit,Brand,2250000.0,18000.0
Bottle Filling Machines_unit_Capacity,Bottle Filling Machines,unit,Capacity,2250000.0,18000.0
Bottle Filling Machines_unit_Capacity (bottles/min),Bottle Filling Machines,unit,Capacity (bottles/min),6150000.0,6150000.0
Bottle Filling Machines_unit_Driven Type,Bottle Filling Machines,unit,Driven Type,40000.0,40000.0
Bottle Filling Machines_unit_Filling Product,Bottle Filling Machines,unit,Filling Product,950000.0,115000.0
Bottle Filling Machines_unit_Filling System,Bottle Filling Machines,unit,Filling System,1650000.0,18000.0
Bottle Filling Machines_unit_Machine Capacity,Bottle Filling Machines,unit,Machine Capacity,25500000.0,25500000.0
Bottle Filling Machines_unit_Machine Type,Bottle Filling Machines,unit,Machine Type,40000.0,18000.0
Bottle Filling Machines_unit_Material,Bottle Filling Machines,unit,Material,3500000.0,18000.0
Bottle Filling Machines_unit_Model,Bottle Filling Machines,unit,Model,2250000.0,2250000.0
Bottle Filling Machines_unit_Model No.,Bottle Filling Machines,unit,Model No.,1650000.0,1500000.0
Bottle Filling Machines_unit_Model Number,Bottle Filling Machines,unit,Model Number,40000.0,18000.0
Bottle Filling Machines_unit_Nozzle Type,Bottle Filling Machines,unit,Nozzle Type,1600000.0,450000.0
Bottle Filling Machines_unit_Packaging Material,Bottle Filling Machines,unit,Packaging Material,1650000.0,1650000.0
Bottle Filling Machines_unit_Packaging Type,Bottle Filling Machines,unit,Packaging Type,2250000.0,18000.0
Bottle Filling Machines_unit_Packing Type,Bottle Filling Machines,unit,Packing Type,550000.0,550000.0
Bottle Filling Machines_unit_Power Consumption,Bottle Filling Machines,unit,Power Consumption,1010000.0,18000.0
Bottle Filling Machines_unit_Size/Dimension,Bottle Filling Machines,unit,Size/Dimension,1650000.0,18000.0
Bottle Filling Machines_unit_Type Of Machines,Bottle Filling Machines,unit,Type Of Machines,615000.0,615000.0
Bottle Filling Machines_unit_Usage,Bottle Filling Machines,unit,Usage,699000.0,115000.0
Bottle Filling Machines_unit_Usage/Application,Bottle Filling Machines,unit,Usage/Application,625000.0,18000.0
Bottle Filling Machines_unit_Water Filling Method,Bottle Filling Machines,unit,Water Filling Method,615000.0,615000.0
Bucket Elevator_feet_Brand,Bucket Elevator,feet,Brand,4000.0,1800.0
Bucket Elevator_feet_Capacity,Bucket Elevator,feet,Capacity,4000.0,1800.0
Bucket Elevator_feet_Color,Bucket Elevator,feet,Color,2000.0,2000.0
Bucket Elevator_feet_Condition,Bucket Elevator,feet,Condition,2000.0,2000.0
Bucket Elevator_feet_Features,Bucket Elevator,feet,Features,2000.0,2000.0
Bucket Elevator_feet_Locking System,Bucket Elevator,feet,Locking System,2000.0,2000.0
Bucket Elevator_feet_Material,Bucket Elevator,feet,Material,4000.0,2500.0
Bucket Elevator_feet_Model,Bucket Elevator,feet,Model,2000.0,2000.0
Bucket Elevator_feet_Model No,Bucket Elevator,feet,Model No,2000.0,2000.0
Bucket Elevator_feet_Model Number/Name,Bucket Elevator,feet,Model Number/Name,6000.0,1800.0
Bucket Elevator_feet_Operating Height,Bucket Elevator,feet,Operating Height,2600.0,1500.0
Bucket Elevator_feet_Power,Bucket Elevator,feet,Power,2500.0,2500.0
Bucket Elevator_feet_Size,Bucket Elevator,feet,Size,2600.0,2000.0
Bucket Elevator_feet_Structure,Bucket Elevator,feet,Structure,10500.0,1800.0
Bucket Elevator_feet_Type,Bucket Elevator,feet,Type,2000.0,2000.0
Bucket Elevator_feet_Usage/Application,Bucket Elevator,feet,Usage/Application,2600.0,2000.0
Bucket Elevator_feet_Voltage,Bucket Elevator,feet,Voltage,10500.0,1800.0
Bucket Elevator_foot_Brand,Bucket Elevator,foot,Brand,2200.0,2200.0
Bucket Elevator_foot_Capacity(ton),Bucket Elevator,foot,Capacity(ton),2500.0,2500.0
Bucket Elevator_foot_Material,Bucket Elevator,foot,Material,3000.0,2000.0
Bucket Elevator_foot_Usage/Application,Bucket Elevator,foot,Usage/Application,2200.0,2200.0
Bucket Elevator_foot_Voltage,Bucket Elevator,foot,Voltage,2200.0,2200.0
Bucket Elevator_kilogram_Capacity,Bucket Elevator,kilogram,Capacity,450.0,450.0
Bucket Elevator_kilogram_Operating Height,Bucket Elevator,kilogram,Operating Height,450.0,450.0
Bucket Elevator_meter_Brand,Bucket Elevator,meter,Brand,20000.0,20000.0
Bucket Elevator_meter_Capacity,Bucket Elevator,meter,Capacity,20000.0,14000.0
Bucket Elevator_meter_Operating Height,Bucket Elevator,meter,Operating Height,20000.0,14000.0
Bucket Elevator_meter_Usage/Application,Bucket Elevator,meter,Usage/Application,20000.0,14000.0
Bucket Elevator_number_Brand,Bucket Elevator,number,Brand,20600.0,20600.0
Bucket Elevator_number_Capacity,Bucket Elevator,number,Capacity,35000.0,35000.0
Bucket Elevator_number_Chain Length,Bucket Elevator,number,Chain Length,50000.0,50000.0
Bucket Elevator_number_Material,Bucket Elevator,number,Material,138000.0,138000.0
Bucket Elevator_number_Operating Height,Bucket Elevator,number,Operating Height,210000.0,210000.0
Bucket Elevator_piece_Brand,Bucket Elevator,piece,Brand,250000.0,1.0
Bucket Elevator_piece_Capacity,Bucket Elevator,piece,Capacity,500000.0,15000.0
Bucket Elevator_piece_Color,Bucket Elevator,piece,Color,310000.0,15000.0
Bucket Elevator_piece_Condition,Bucket Elevator,piece,Condition,255000.0,255000.0
Bucket Elevator_piece_Features,Bucket Elevator,piece,Features,240000.0,240000.0
Bucket Elevator_piece_Locking System,Bucket Elevator,piece,Locking System,240000.0,15000.0
Bucket Elevator_piece_Material,Bucket Elevator,piece,Material,250000.0,35000.0
Bucket Elevator_piece_Model,Bucket Elevator,piece,Model,200000.0,126000.0
Bucket Elevator_piece_Model No,Bucket Elevator,piece,Model No,240000.0,170000.0
Bucket Elevator_piece_Model Number/Name,Bucket Elevator,piece,Model Number/Name,100000.0,50000.0
Bucket Elevator_piece_No Of Person,Bucket Elevator,piece,No Of Person,200000.0,200000.0
Bucket Elevator_piece_Operating Height,Bucket Elevator,piece,Operating Height,500000.0,15000.0
Bucket Elevator_piece_Power,Bucket Elevator,piece,Power,200000.0,35000.0
Bucket Elevator_piece_Shape,Bucket Elevator,piece,Shape,225000.0,225000.0
Bucket Elevator_piece_Size,Bucket Elevator,piece,Size,240000.0,1.0
Bucket Elevator_piece_Structure,Bucket Elevator,piece,Structure,500000.0,80000.0
Bucket Elevator_piece_Type,Bucket Elevator,piece,Type,240000.0,170000.0
Bucket Elevator_piece_Usage/Application,Bucket Elevator,piece,Usage/Application,450000.0,1.0
Bucket Elevator_piece_Voltage,Bucket Elevator,piece,Voltage,250000.0,50000.0
Bucket Elevator_set_Brand,Bucket Elevator,set,Brand,320000.0,2500.0
Bucket Elevator_set_Operating Height,Bucket Elevator,set,Operating Height,320000.0,320000.0
Bucket Elevator_unit_Brand,Bucket Elevator,unit,Brand,300000.0,100.0
Bucket Elevator_unit_Capacity,Bucket Elevator,unit,Capacity,300000.0,100.0
Bucket Elevator_unit_Capacity(ton),Bucket Elevator,unit,Capacity(ton),400000.0,100000.0
Bucket Elevator_unit_Color,Bucket Elevator,unit,Color,50000.0,50000.0
Bucket Elevator_unit_Features,Bucket Elevator,unit,Features,250000.0,250000.0
Bucket Elevator_unit_Gear Box,Bucket Elevator,unit,Gear Box,250000.0,250000.0
Bucket Elevator_unit_Locking System,Bucket Elevator,unit,Locking System,240900.0,240900.0
Bucket Elevator_unit_Material,Bucket Elevator,unit,Material,470000.0,100.0
Bucket Elevator_unit_Model,Bucket Elevator,unit,Model,350000.0,250000.0
Bucket Elevator_unit_Model No,Bucket Elevator,unit,Model No,240900.0,240900.0
Bucket Elevator_unit_Model Number/Name,Bucket Elevator,unit,Model Number/Name,100000.0,95000.0
Bucket Elevator_unit_Operating Height,Bucket Elevator,unit,Operating Height,152000.0,30000.0
Bucket Elevator_unit_Power,Bucket Elevator,unit,Power,300000.0,180000.0
Bucket Elevator_unit_Structure,Bucket Elevator,unit,Structure,165000.0,60000.0
Bucket Elevator_unit_Type,Bucket Elevator,unit,Type,240900.0,240900.0
Bucket Elevator_unit_Usage/Application,Bucket Elevator,unit,Usage/Application,350000.0,200000.0
Bucket Elevator_unit_Voltage,Bucket Elevator,unit,Voltage,300000.0,180000.0
Busbar Systems_meter_Brand,Busbar Systems,meter,Brand,2000.0,650.0
Busbar Systems_meter_Capacity,Busbar Systems,meter,Capacity,2900.0,650.0
Busbar Systems_meter_Chain Length,Busbar Systems,meter,Chain Length,2900.0,2900.0
Busbar Systems_meter_Make/Brand,Busbar Systems,meter,Make/Brand,650.0,650.0
Busbar Systems_meter_Material,Busbar Systems,meter,Material,2000.0,650.0
Busbar Systems_meter_Model,Busbar Systems,meter,Model,900.0,650.0
Busbar Systems_meter_Power,Busbar Systems,meter,Power,750.0,650.0
Busbar Systems_meter_Size,Busbar Systems,meter,Size,650.0,650.0
Busbar Systems_meter_Trolley Option,Busbar Systems,meter,Trolley Option,2900.0,2900.0
Busbar Systems_meter_Type,Busbar Systems,meter,Type,750.0,450.0
Busbar Systems_meter_Usage/Application,Busbar Systems,meter,Usage/Application,2900.0,650.0
Busbar Systems_number_Brand,Busbar Systems,number,Brand,3688.0,3688.0
Busbar Systems_number_Material,Busbar Systems,number,Material,3688.0,3688.0
Busbar Systems_number_Power,Busbar Systems,number,Power,3688.0,3688.0
Busbar Systems_piece_Brand,Busbar Systems,piece,Brand,45.0,25.0
Busbar Systems_piece_Material,Busbar Systems,piece,Material,200.0,45.0
Busbar Systems_piece_Power,Busbar Systems,piece,Power,250.0,250.0
Busbar Systems_piece_Product Code,Busbar Systems,piece,Product Code,150.0,150.0
Busbar Systems_piece_Product Type,Busbar Systems,piece,Product Type,150.0,150.0
Busbar Systems_piece_Type,Busbar Systems,piece,Type,25.0,25.0
Busbar Systems_piece_Usage/Application,Busbar Systems,piece,Usage/Application,25.0,25.0
Busbar Systems_unit_Brand,Busbar Systems,unit,Brand,150000.0,8120.0
Busbar Systems_unit_Material,Busbar Systems,unit,Material,8120.0,8120.0
Busbar Systems_unit_Voltage,Busbar Systems,unit,Voltage,150000.0,150000.0
Butt Hinges_box_Brand,Butt Hinges,box,Brand,92.0,92.0
Butt Hinges_box_Size,Butt Hinges,box,Size,92.0,92.0
Butt Hinges_kilogram_Brand,Butt Hinges,kilogram,Brand,550.0,550.0
Butt Hinges_kilogram_Finish Type,Butt Hinges,kilogram,Finish Type,45.0,45.0
Butt Hinges_kilogram_Hinge Type,Butt Hinges,kilogram,Hinge Type,45.0,45.0
Butt Hinges_kilogram_Material,Butt Hinges,kilogram,Material,45.0,45.0
Butt Hinges_kilogram_Material Grade,Butt Hinges,kilogram,Material Grade,100.0,100.0
Butt Hinges_kilogram_Size,Butt Hinges,kilogram,Size,45.0,45.0
Butt Hinges_kilogram_Suitable For,Butt Hinges,kilogram,Suitable For,45.0,45.0
Butt Hinges_packet_Finish Type,Butt Hinges,packet,Finish Type,75.0,75.0
Butt Hinges_packet_Hinge Type,Butt Hinges,packet,Hinge Type,75.0,75.0
Butt Hinges_packet_Material,Butt Hinges,packet,Material,75.0,75.0
Butt Hinges_packet_Size,Butt Hinges,packet,Size,75.0,75.0
Butt Hinges_packet_Suitable For,Butt Hinges,packet,Suitable For,75.0,75.0
Butt Hinges_piece_Brand,Butt Hinges,piece,Brand,125.0,6.0
Butt Hinges_piece_Color,Butt Hinges,piece,Color,45.0,8.0
Butt Hinges_piece_Design,Butt Hinges,piece,Design,36.0,26.0
Butt Hinges_piece_Finish Type,Butt Hinges,piece,Finish Type,80.0,7.0
Butt Hinges_piece_Hinge Type,Butt Hinges,piece,Hinge Type,150.0,7.0
Butt Hinges_piece_Item Weight,Butt Hinges,piece,Item Weight,13.0,13.0
Butt Hinges_piece_Material,Butt Hinges,piece,Material,130.0,7.0
Butt Hinges_piece_Packaging Size,Butt Hinges,piece,Packaging Size,13.0,13.0
Butt Hinges_piece_Size,Butt Hinges,piece,Size,80.0,3.65
Butt Hinges_piece_Size (in inches),Butt Hinges,piece,Size (in inches),361.67,200.0
Butt Hinges_piece_Suitable For,Butt Hinges,piece,Suitable For,130.0,7.0
Butt Hinges_piece_Thickness,Butt Hinges,piece,Thickness,25.0,3.65
Butt Hinges_piece_Thickness (in mm),Butt Hinges,piece,Thickness (in mm),361.67,16.0
Butt Hinges_piece_Usage/Application,Butt Hinges,piece,Usage/Application,140.0,100.0
Butt Hinges_set_Brand,Butt Hinges,set,Brand,6500.0,6500.0
Butt Hinges_set_Color,Butt Hinges,set,Color,110.0,110.0
Butt Hinges_set_Hinge Type,Butt Hinges,set,Hinge Type,110.0,110.0
Butt Hinges_set_Material,Butt Hinges,set,Material,6500.0,6500.0
Butt Hinges_set_Size,Butt Hinges,set,Size,6500.0,6500.0
Butt Hinges_set_Suitable For,Butt Hinges,set,Suitable For,6500.0,6500.0
Butt Hinges_set_Usage/Application,Butt Hinges,set,Usage/Application,110.0,110.0
Butt Hinges_unit_Brand,Butt Hinges,unit,Brand,13.5,13.5
Butt Hinges_unit_Color,Butt Hinges,unit,Color,13.5,13.5
Butt Hinges_unit_Finish Type,Butt Hinges,unit,Finish Type,500.0,13.5
Butt Hinges_unit_Hinge Type,Butt Hinges,unit,Hinge Type,13.5,13.5
Butt Hinges_unit_Material,Butt Hinges,unit,Material,500.0,450.0
Butt Hinges_unit_Size,Butt Hinges,unit,Size,450.0,13.5
Butt Hinges_unit_Suitable For,Butt Hinges,unit,Suitable For,500.0,13.5
Butt Hinges_unit_Thickness,Butt Hinges,unit,Thickness,500.0,13.5
Button Hole Machine_carton_Brand,Button Hole Machine,carton,Brand,185000.0,185000.0
Button Hole Machine_carton_Needle,Button Hole Machine,carton,Needle,185000.0,185000.0
Button Hole Machine_number_Brand,Button Hole Machine,number,Brand,135000.0,135000.0
Button Hole Machine_number_Model Number/Name,Button Hole Machine,number,Model Number/Name,135000.0,135000.0
Button Hole Machine_number_Needle,Button Hole Machine,number,Needle,135000.0,135000.0
Button Hole Machine_piece_Automatic Grade,Button Hole Machine,piece,Automatic Grade,520000.0,520000.0
Button Hole Machine_piece_Automation Grade,Button Hole Machine,piece,Automation Grade,520000.0,1.0
Button Hole Machine_piece_Brand,Button Hole Machine,piece,Brand,150000.0,1.0
Button Hole Machine_piece_Max Sewing Speed,Button Hole Machine,piece,Max Sewing Speed,60000.0,60000.0
Button Hole Machine_piece_Model,Button Hole Machine,piece,Model,150000.0,105000.0
Button Hole Machine_piece_Model Number/Name,Button Hole Machine,piece,Model Number/Name,520000.0,520000.0
Button Hole Machine_piece_Needle,Button Hole Machine,piece,Needle,105000.0,105000.0
Button Hole Machine_piece_Power,Button Hole Machine,piece,Power,85000.0,10000.0
Button Hole Machine_piece_Usage/Application,Button Hole Machine,piece,Usage/Application,120000.0,1.0
Button Hole Machine_set_Automatic Grade,Button Hole Machine,set,Automatic Grade,86000.0,82000.0
Button Hole Machine_set_Automation Grade,Button Hole Machine,set,Automation Grade,86000.0,86000.0
Button Hole Machine_set_Brand,Button Hole Machine,set,Brand,93000.0,78000.0
Button Hole Machine_set_Max Sewing Speed,Button Hole Machine,set,Max Sewing Speed,110000.0,82000.0
Button Hole Machine_set_Model,Button Hole Machine,set,Model,93000.0,85000.0
Button Hole Machine_set_Model Number/Name,Button Hole Machine,set,Model Number/Name,165000.0,82000.0
Button Hole Machine_set_Motor,Button Hole Machine,set,Motor,95000.0,82000.0
Button Hole Machine_set_Needle,Button Hole Machine,set,Needle,165000.0,78000.0
Button Hole Machine_set_Usage/Application,Button Hole Machine,set,Usage/Application,110000.0,95000.0
Button Hole Machine_unit_Automatic Grade,Button Hole Machine,unit,Automatic Grade,85000.0,85000.0
Button Hole Machine_unit_Brand,Button Hole Machine,unit,Brand,86000.0,22000.0
Button Hole Machine_unit_Max Sewing Speed,Button Hole Machine,unit,Max Sewing Speed,86000.0,86000.0
Button Hole Machine_unit_Model,Button Hole Machine,unit,Model,86000.0,85000.0
Button Hole Machine_unit_Model Number/Name,Button Hole Machine,unit,Model Number/Name,32000.0,32000.0
Button Hole Machine_unit_Needle,Button Hole Machine,unit,Needle,75000.0,75000.0
Button Hole Machine_unit_Power,Button Hole Machine,unit,Power,86000.0,86000.0
Button Hole Machine_unit_Usage/Application,Button Hole Machine,unit,Usage/Application,301000.0,301000.0
CNC Milling Machine_number_Automatic Grade,CNC Milling Machine,number,Automatic Grade,621000.0,621000.0
CNC Milling Machine_number_Automation Grade,CNC Milling Machine,number,Automation Grade,1200000.0,1200000.0
CNC Milling Machine_number_Drill Depth,CNC Milling Machine,number,Drill Depth,621000.0,621000.0
CNC Milling Machine_number_Drill Type,CNC Milling Machine,number,Drill Type,621000.0,621000.0
CNC Milling Machine_number_Hole Diameter,CNC Milling Machine,number,Hole Diameter,621000.0,621000.0
CNC Milling Machine_number_Machine Type,CNC Milling Machine,number,Machine Type,621000.0,621000.0
CNC Milling Machine_number_Material,CNC Milling Machine,number,Material,621000.0,621000.0
CNC Milling Machine_number_Max Speed,CNC Milling Machine,number,Max Speed,621000.0,621000.0
CNC Milling Machine_number_Type,CNC Milling Machine,number,Type,621000.0,621000.0
CNC Milling Machine_number_Usage/Application,CNC Milling Machine,number,Usage/Application,1200000.0,1200000.0
CNC Milling Machine_number_Voltage,CNC Milling Machine,number,Voltage,1200000.0,1200000.0
CNC Milling Machine_piece_Applicable Materials,CNC Milling Machine,piece,Applicable Materials,550000.0,550000.0
CNC Milling Machine_piece_Automatic Grade,CNC Milling Machine,piece,Automatic Grade,5595000.0,5595000.0
CNC Milling Machine_piece_Automation Grade,CNC Milling Machine,piece,Automation Grade,2800000.0,1085000.0
CNC Milling Machine_piece_Brand,CNC Milling Machine,piece,Brand,1090000.0,10.0
CNC Milling Machine_piece_Brand/Make,CNC Milling Machine,piece,Brand/Make,1000.0,1000.0
CNC Milling Machine_piece_Material,CNC Milling Machine,piece,Material,1600000.0,1600000.0
CNC Milling Machine_piece_Model,CNC Milling Machine,piece,Model,5595000.0,5595000.0
CNC Milling Machine_piece_Model No.,CNC Milling Machine,piece,Model No.,1.0,1.0
CNC Milling Machine_piece_Model Number,CNC Milling Machine,piece,Model Number,5595000.0,2800000.0
CNC Milling Machine_piece_Model Number/Name,CNC Milling Machine,piece,Model Number/Name,1000.0,1000.0
CNC Milling Machine_piece_Power Load,CNC Milling Machine,piece,Power Load,2800000.0,2800000.0
CNC Milling Machine_piece_Spindle Speed,CNC Milling Machine,piece,Spindle Speed,1085000.0,10.0
CNC Milling Machine_piece_Spindle Speed (rpm),CNC Milling Machine,piece,Spindle Speed (rpm),1600000.0,1600000.0
CNC Milling Machine_piece_Style,CNC Milling Machine,piece,Style,5595000.0,5595000.0
CNC Milling Machine_piece_Table Size,CNC Milling Machine,piece,Table Size,2800000.0,350000.0
CNC Milling Machine_piece_Type Of Milling Machine,CNC Milling Machine,piece,Type Of Milling Machine,1750000.0,1350000.0
CNC Milling Machine_piece_Usage/Application,CNC Milling Machine,piece,Usage/Application,1750000.0,1085000.0
CNC Milling Machine_piece_Voltage,CNC Milling Machine,piece,Voltage,1085000.0,10.0
CNC Milling Machine_piece_Weight,CNC Milling Machine,piece,Weight,1600000.0,500000.0
CNC Milling Machine_set_Automation Grade,CNC Milling Machine,set,Automation Grade,900000.0,900000.0
CNC Milling Machine_set_Brand,CNC Milling Machine,set,Brand,900000.0,900000.0
CNC Milling Machine_set_Spindle Speed,CNC Milling Machine,set,Spindle Speed,900000.0,900000.0
CNC Milling Machine_unit_Applicable Materials,CNC Milling Machine,unit,Applicable Materials,650000.0,650000.0
CNC Milling Machine_unit_Automation Grade,CNC Milling Machine,unit,Automation Grade,3000000.0,400000.0
CNC Milling Machine_unit_Ball Screw For Z,CNC Milling Machine,unit,Ball Screw For Z,650000.0,650000.0
CNC Milling Machine_unit_Brand,CNC Milling Machine,unit,Brand,3000000.0,400000.0
CNC Milling Machine_unit_Capacity,CNC Milling Machine,unit,Capacity,650000.0,650000.0
CNC Milling Machine_unit_Machine Type,CNC Milling Machine,unit,Machine Type,650000.0,650000.0
CNC Milling Machine_unit_Material,CNC Milling Machine,unit,Material,650000.0,650000.0
CNC Milling Machine_unit_Model Number,CNC Milling Machine,unit,Model Number,650000.0,650000.0
CNC Milling Machine_unit_Product Type,CNC Milling Machine,unit,Product Type,650000.0,650000.0
CNC Milling Machine_unit_Spindle Power,CNC Milling Machine,unit,Spindle Power,650000.0,650000.0
CNC Milling Machine_unit_Spindle Speed,CNC Milling Machine,unit,Spindle Speed,15000000.0,700000.0
CNC Milling Machine_unit_Spindle Speed (rpm),CNC Milling Machine,unit,Spindle Speed (rpm),2000000.0,2000000.0
CNC Milling Machine_unit_Type of Milling Machine,CNC Milling Machine,unit,Type of Milling Machine,650000.0,650000.0
CNC Milling Machine_unit_Usage/Application,CNC Milling Machine,unit,Usage/Application,15000000.0,650000.0
CNC Milling Machine_unit_Voltage,CNC Milling Machine,unit,Voltage,3000000.0,250000.0
CNC Milling Machine_unit_Weight,CNC Milling Machine,unit,Weight,3000000.0,700000.0
Camera Lenses_piece_Brand,Camera Lenses,piece,Brand,205990.0,190.0
Camera Lenses_piece_Color,Camera Lenses,piece,Color,17500.0,45.0
Camera Lenses_piece_Compatible With,Camera Lenses,piece,Compatible With,300.0,269.0
Camera Lenses_piece_Focus,Camera Lenses,piece,Focus,85000.0,85000.0
Camera Lenses_piece_Lens Size,Camera Lenses,piece,Lens Size,190.0,190.0
Camera Lenses_piece_Model Number,Camera Lenses,piece,Model Number,158990.0,158990.0
Camera Lenses_piece_Mount,Camera Lenses,piece,Mount,205990.0,18990.0
Camera Lenses_piece_Size,Camera Lenses,piece,Size,300.0,300.0
Camera Lenses_piece_Type,Camera Lenses,piece,Type,6000.0,6000.0
Camera Lenses_piece_Warranty,Camera Lenses,piece,Warranty,17000.0,17000.0
Camera Lenses_piece_Weight,Camera Lenses,piece,Weight,205990.0,105.0
Camera Lenses_set_Brand,Camera Lenses,set,Brand,22000.0,22000.0
Camera Lenses_set_Color,Camera Lenses,set,Color,22000.0,22000.0
Camera Lenses_set_Focus,Camera Lenses,set,Focus,22000.0,22000.0
Camera Lenses_set_Weight,Camera Lenses,set,Weight,22000.0,22000.0
Camera Lenses_unit_Color,Camera Lenses,unit,Color,2100.0,2100.0
Camera Lenses_unit_Mount,Camera Lenses,unit,Mount,2100.0,2100.0
Canon Digital Camera_bag_Compatible Lenses,Canon Digital Camera,bag,Compatible Lenses,33000.0,33000.0
Canon Digital Camera_bag_Model Number,Canon Digital Camera,bag,Model Number,33000.0,33000.0
Canon Digital Camera_bag_Resolution,Canon Digital Camera,bag,Resolution,33000.0,33000.0
Canon Digital Camera_bag_Type,Canon Digital Camera,bag,Type,33000.0,33000.0
Canon Digital Camera_piece_Brand,Canon Digital Camera,piece,Brand,60000.0,46500.0
Canon Digital Camera_piece_Color,Canon Digital Camera,piece,Color,200000.0,200000.0
Canon Digital Camera_piece_ISO Rating,Canon Digital Camera,piece,ISO Rating,46500.0,46500.0
Canon Digital Camera_piece_Lens Mount,Canon Digital Camera,piece,Lens Mount,25000.0,25000.0
Canon Digital Camera_piece_Model Number,Canon Digital Camera,piece,Model Number,200000.0,200000.0
Canon Digital Camera_piece_Type,Canon Digital Camera,piece,Type,46500.0,37500.0
Canon Digital Camera_piece_Warranty,Canon Digital Camera,piece,Warranty,46500.0,46500.0
Canon Digital Camera_unit_Brand,Canon Digital Camera,unit,Brand,50000.0,16000.0
Canon Digital Camera_unit_Compatible Lenses,Canon Digital Camera,unit,Compatible Lenses,470000.0,470000.0
Canon Digital Camera_unit_Model,Canon Digital Camera,unit,Model,75000.0,75000.0
Canon Digital Camera_unit_Model Number,Canon Digital Camera,unit,Model Number,470000.0,470000.0
Canon Digital Camera_unit_Resolution,Canon Digital Camera,unit,Resolution,470000.0,470000.0
Canon Digital Camera_unit_Type,Canon Digital Camera,unit,Type,470000.0,35000.0
Canon Digital Camera_unit_Warranty,Canon Digital Camera,unit,Warranty,75000.0,75000.0
Coffee Makers_box_Condition,Coffee Makers,box,Condition,11500.0,11500.0
Coffee Makers_box_Operation Mode,Coffee Makers,box,Operation Mode,11500.0,11500.0
Coffee Makers_piece_Brand,Coffee Makers,piece,Brand,16500.0,479.0
Coffee Makers_piece_Capacity,Coffee Makers,piece,Capacity,16500.0,1.0
Coffee Makers_piece_Capacity(cups per day),Coffee Makers,piece,Capacity(cups per day),75000.0,75000.0
Coffee Makers_piece_Coffee Type,Coffee Makers,piece,Coffee Type,16500.0,4500.0
Coffee Makers_piece_Condition,Coffee Makers,piece,Condition,139985.0,75000.0
Coffee Makers_piece_Features,Coffee Makers,piece,Features,1900.0,1900.0
Coffee Makers_piece_Flavour,Coffee Makers,piece,Flavour,16500.0,16500.0
Coffee Makers_piece_Material,Coffee Makers,piece,Material,4900.0,610.0
Coffee Makers_piece_Model,Coffee Makers,piece,Model,139985.0,4500.0
Coffee Makers_piece_Model Number/Name,Coffee Makers,piece,Model Number/Name,70999.0,16500.0
Coffee Makers_piece_Operation Mode,Coffee Makers,piece,Operation Mode,16500.0,1.0
Coffee Makers_piece_Product Selections,Coffee Makers,piece,Product Selections,70999.0,70999.0
Coffee Makers_piece_Product Type,Coffee Makers,piece,Product Type,16500.0,11000.0
